Name,Address,Postalcode,X-COORDINATES,Y-COORDINATES
Fernvale Grove,436 Fernvale Road 790436 Singapore,790436,32822.6759,41604.9273
Fernvale Lane,403 - 405 Fernvale Lane 790403 Singapore,790403,32418.6979,41172.1898
Fernvale Vista, Fernvale Road 793441 Singapore,793441,32613.9681,41568.026
Forest Hills Condominium,31 Transit Road 778903 Singapore,778903,26249.0142,42977.1476
Fortune Jade Condominium ,501 Duman Road 439193 Singapore,439193,34846.5844,32469.6256
Four Seasons Park,8 Cuscaden Walk 249692 Singapore,249692,27460.3134,31733.2529
Freesia Woods,61 Sunset Way 597086 Singapore,597086,20605.871,34006.888
Ghim Moh Gardens,7/8/13-21 Ghim Moh Road 270007 Singapore,270007,22870.8441,32621.1558
Global Ville ,20 Jalan Raja Udang 329192 Singapore,329192,29033.3459,34415.5693
Golden Jasmine,152B Bishan Street 11 572152 Singapore,572152,30299.9593,36383.6836
Goldenhill Park Condominium,60 Mei Hwan Drive 568426 Singapore,568426,31264.8975,37246.1839
Goodwood Gardens,4 Balmoral Crescent 259889 Singapore,259889,28095.6701,32994.1787
Grandeur 8,18 Ang Mo Kio Central 3 567749 Singapore,567749,29491.7908,39824.9629
Haig Court,152 Haig Road 438795 Singapore,438795,35177.0701,32075.0578
Hanifah Building,118 Keng Lee Road 308404 Singapore,308404,29233.3975,32931.9402
HDB Golden Lotus,62B Lorong 4 Toa Payoh  312062 Singapore,312062,29998.7302,35335.9166
HDB The Periwinkle,194-195 Punggol Road 820194 Singapore,820194,36146.7795,42654.3627
HDB The Sundial,168B Punggol East 822168 Singapore,822168,36976.443,41821.9553
HDB Wellington,512/513 Wellington Circle 750512 Singapore,750512,26550.7943,48391.9151
Helios Residences,15/17 Cairnhill Circle 229815 Singapore,229815,28498.822,32098.5721
Heritage Residence,101 Lorong L Telok Kurau 425537 Singapore,425537,36862.8341,32761.6104
Highland Centre (Residential),22 Yio Chu Kang Road 545535 Singapore,545535,32889.5695,37497.8321
Hillington Green,51 Hillview Ave 669565 Singapore,669565,20400.5963,37852.6045
Hillview 128,128 Hillview Avenue 669595 Singapore,669595,19935.1443,37700.8983
Hillview Regency ,26 Bukit Batok East Avenue 2 659920 Singapore,659920,19768.6762,37138.1414
Holland Mews,67 Holland Road 258867 Singapore,258867,24985.9518,32404.6861
Hong Lim Complex (Residential),531 Upper Cross Street 050531 Singapore,50531,29378.4049,29620.169
Hougang Avenue 10 Block 512 ,512 Hougang Avenue 10 530512 Singapore,530512,34154.3363,39254.0049
Hundred Trees,83 West Coast Drive 127999 Singapore,127999,19647.7558,33061.3243
Icon (Residential),10 Gopeng Street  078878 Singapore,78878,29244.0023,28627.3431
Intero,8 Leicester Road 358841 Singapore,358841,31787.6266,34717.7361
Ivory,15 Ceylon Lane 423468 Singapore,423468,35466.7273,32633.7853
Jaya Tower,431/433 Bukit Timah Road 259738 Singapore,259738,26960.4995,33596.246
Jing Suites ,275 Changi Road 419755 Singapore,419755,36136.7374,33370.9872
JLB Residences,169 Jalan Loyang Besar 509422 Singapore,509422,42160.2169,40118.6468
Kallang Heights,2A - 2D/3A - 3D Upper Boon Keng Road 384002 Singapore,384002,32347.1825,32819.1866
Katong Park Towers,114A Arthur Road 439826 Singapore,439826,34103.3947,31353.619
Kent Residences,23 Kent Road 219219 Singapore,219219,30086.6532,33142.678
Kentish Green ,20 Oxford Road 218815 Singapore,218815,30055.393,33097.8864
Kovan Melody,13-37 Kovan Road 545018 Singapore,545018,33500.4051,37940.7981
La Casa,64 Woodlands Drive 16 737894 Singapore,737894,24000.7641,46040.5467
Laguna Park,5000A to 5000F Marine Parade Road 449287 Singapore,449287,38852.7181,32373.3591
Le Reve,17-31/33 Kampong Eunos 417786 Singapore,417786,36119.7749,33466.9675
Legenda @ Joo Chiat,23 Joo Chiat Lane 428125 Singapore,428125,35620.6942,32815.8522
Leith Grove,6 Leith Park 547933 Singapore,547933,32511.0529,38262.8199
Linear Green @ Bedok, Bedok Central 461221 Singapore,461221,39290.7728,34160.042
Livia,61/63/65/69/71/73/75/77/79/81 Pasir Ris Grove 518215 Singapore,518215,40297.4408,39372.4718
Lucky Plaza (Residential),304  Orchard Road 238863 Singapore,238863,28077.6865,31858.1991
Lumiere,2 Mistri Road  079624 Singapore,79624,29414.1346,28526.9924
Malvern Springs,373 Onan Road  424775 Singapore,424775,35855.1915,32022.6255
Mandale Heights,45 Mandalay Road 308225 Singapore,308225,29825.0865,34063.6717
Meadow Lodge,31 Chun Tin Road 599717 Singapore,599717,21329.3577,35959.8631
Medge,2 Minbu Road 308186 Singapore,308186,29898.8575,33957.5324
Mera Springs,81/83 Carlisle Road 219648 Singapore,219648,29487.0493,33006.7558
Meraprime,301 Jalan Bukit Ho Swee 169568 Singapore,169568,27384.4409,29941.9207
Meridian Block 173 - 176,173-176 Punggol Field 820173 Singapore,820173,36446.5091,42130.6912
Min Yuan,62 Waterloo Street 187958 Singapore,187958,30010.5627,31263.8234
Mint Residences @ Jansen,20 Jansen Road 548411 Singapore,548411,32908.3196,37992.7838
Montebleu,8 Minbu Road 308162 Singapore,308162,29867.8321,34002.6924
Monterey Park Condominium ,23 West Coast Rise 127466 Singapore,127466,19124.5466,33183.7968
Montview,63 Mount Sinai Drive 277116 Singapore,277116,21768.8879,33217.6779
Moonstone Residences,25 Moonstone Lane 328465 Singapore,328465,31644.4248,34369.3655
Nee Soon Central Estate,642-647 Yishun Street 61 760642 Singapore,760642,28459.4113,44749.1659
Newton 18,18 Newton Road 307989 Singapore,307989,28871.6396,32953.501
Newton 200,200 Newton Road 307983 Singapore,307983,29092.1202,33442.0888
Newton Euro - Asia,21 Newton Road 307954 Singapore,307954,28794.8674,33020.564
Nicole Green,68 Guillemard Road 399710 Singapore,399710,33178.6227,32401.8147
Nomu,20 Handy Road 229236 Singapore,229236,29518.4445,31351.8438
Northoaks,20 Woodlands Crescent  738081 Singapore,738081,24962.7311,47392.5493
Novena Suites,200 Moulmein Road 308107 Singapore,308107,29270.5559,33459.2141
Nuovo,21 Ang Mo Kio Avenue 9 569786 Singapore,569786,29011.7938,40701.841
Oasis@Elias,60 Elias Road 519938 Singapore,519938,40054.5416,39882.7145
One - North Residences,7 One-North Gateway 138642 Singapore,138642,23168.7434,31616.7065
One @ Pulasan,1 Pulasan Road 424366 Singapore,424366,36098.6262,32747.4327
One Jervois,3 Jervois Close  249009 Singapore,249009,26924.6472,30602.963
One Leicester,1 Leicester Road 358828 Singapore,358828,31788.1548,34627.2347
One Oxley Rise (Residential),1 Oxley Rise 238714 Singapore,238714,28933.7658,31289.7756
One Shenton,1 Shenton Way 068803 Singapore,68803,29918.0101,29083.4584
One Tree Hill,1A One Tree Hill 248669 Singapore,248669,27036.0688,31456.3791
Orchard Grand Court Pte Ltd ,131 Killiney Road 239571 Singapore,239571,28581.2377,31076.1497
Orchard Parksuites,11 Orchard Turn  238800 Singapore,238800,27935.4004,31704.8805
Orchard Scotts,7 Anthony Road 229955 Singapore,229955,28570.5511,32441.0952
Orion,6C Orange Grove Road 258333 Singapore,258333,27365.4303,32324.451
Oxford Suites,21 Oxford Road 218817 Singapore,218817,30133.5235,33091.6685
Palm Oasis,51 Telok Kurau Lorong H 426052 Singapore,426052,36365.7782,33156.3718
Palm Residence,7 Jalan Rajawali 598429 Singapore,598429,20863.1178,36157.5667
Palm Vista,47 Lorong G Telok Kurau 426224 Singapore,426224,36487.8926,33281.6668
Pandan Valley Condominium MCST 581,3 Pandan Valley 597627 Singapore,597627,22002.151,33573.3441
Paradise Palms,505 Dunman Road 439198 Singapore,439198,34900.2226,32473.8017
Parc Emily,9  Mount Emily Road 228492 Singapore,228492,29712.7426,31789.6125
Parc Mackenzie,68 Mackenzie road 228687 Singapore,228687,29620.1602,32064.6103
Parc Oasis,35 Jurong East Avenue 1 609774 Singapore,609774,16949.7621,36226.7453
Paterson Residences,71/75/83 Paterson Road 238545 Singapore,238545,27608.824,31423.1335
Pearl's Centre (Residential),100 Eu Tong Sen Street 059812 Singapore,59812,28815.5363,29348.5628
Platinum Edge,18 Leicester Road 358847 Singapore,358847,31731.4631,34744.7807
Pristine Heights,77 Mergui Road 219053 Singapore,219053,30067.3825,33245.9879
Proximo,27 Robin Road 258204 Singapore,258204,27491.9224,33292.741
Punggol Breeze,Blk 616A to Blk 616D Punggol Drive 821616 Singapore,821616,36832.5812,42572.2032
Punggol Central Block 293-299 ,293 -299 Punggol Central 820293 Singapore,820293,35971.0822,42770.606
Punggol Eastdale,643 - 652 Punggol Eastdale 820643 Singapore,820643,37203.4051,42134.1641
Punggol Field ,200 - 205A Punggol Field 820200 Singapore,820200,35762.7577,42351.7131
Punggol Field Block 196-199,196 - 199 Punggol Field 820196 Singapore,820196,36206.3222,42360.7477
Punggol Field Walk ,125 - 126D Punggol Field Walk 820125 Singapore,820125,36686.1114,41759.0119
Punggol Field Walk Block 127-128D,127-128D Punggol Field Walk 820128 Singapore,820128,36818.2297,41649.1107
Punggol Gardens ,160 - 166B Punggol Central 821160 Singapore,821160,37168.8767,41912.1989
Punggol Lodge, Punggol Road 823603 Singapore,823603,36307.7395,42799.1034
Punggol Spring,614A Edgefield Plains  821614 Singapore,821614,36451.6951,42826.8639
Punggol Vista, Punggol Vista  822602 Singapore,822602,36184.552,42763.6678
Quinterra,359 Holland Road 278636 Singapore,278636,22142.6,33433.0755
Rafflesia Condominium,31 Bishan Street 21 579800 Singapore,579800,29112.5181,36679.6921
Reflections @ Keppel Bay,1-33 Keppel Bay View 098405 Singapore,98405,25772.2181,27704.1638
Regency House (Residential),121 Penang Road 238464 Singapore,238464,28971.4141,31313.9163
Regency Suites,38 Kim Tian Road 169279 Singapore,169279,27534.7863,29641.4276
Residence 66 ,66 Telok Kurau Road 423788 Singapore,423788,36385.2543,33189.3019
Residences @ Jansen ,29 Jansen Road 548432 Singapore,548432,32791.1799,38006.4948
Rio Gardens,55B Jalan Taman 329001 Singapore,329001,31452.3346,34315.6474
Ris Grandeur,33 Elias Road 519935 Singapore,519935,39907.2354,39588.8449
Ritz Regency,8 Ipoh Lane 438611 Singapore,438611,34838.6027,32630.0201
River Place,60 Havelock Road 169658 Singapore,169658,28885.6365,30224.0109
Robertson Edge,18 Tong Watt Road 238010 Singapore,238010,28803.5218,30609.0959
Rocca Balestier (Residential),221 Balestier Road 329928 Singapore,329928,30137.6078,33727.6833
Rosyth Ville,3 Rosyth Road 546134 Singapore,546134,32553.3646,38328.2051
Sanctuary Green,181 Tanjong Rhu Road 436922 Singapore,436922,32277.1267,30927.412
Scenic Heights,245 Balestier Road 329929 Singapore,329929,30097.9827,33764.2006
Scotts Highpark,43 Scotts Road 228239 Singapore,228239,28378.8235,32740.1914
Shahid Apartment Pte Ltd,88 Owen Road 218901 Singapore,218901,30246.5971,32861.1288
Shaw Plaza (Twin Heights),360 Balestier Road 329783 Singapore,329783,29973.9555,34151.2829
Sheares Ville ,9 Holt Road 249446 Singapore,249446,27118.7848,30640.3563
Siglap Lucky Valley ,67 Bedok South Avenue 3 460067 Singapore,460067,40326.2472,33471.2464
SilverSea,50 Marine Parade Road 449307 Singapore,449307,35766.1167,31372.5696
Simei Road Block 155 to 166 ,155-166 Simei Road 520155 Singapore,520155,41899.0691,36315.9048
Simei Street 1 Block 135 and 138 ,135/138 Simei Street 1 520135 Singapore,520135,41769.5045,36685.8269
Sims Green,7 Lorong 27A Geylang 388133 Singapore,388133,33710.4346,32966.3985
SkyPark @ Somerset ,22 St Thomas Walk 238107 Singapore,238107,28301.9724,31060.5775
Spring @ Katong,18/20 Ceylon Road 429748 Singapore,429748,35799.518,31993.3149
